"Participant.ID","CorA","Age","Grade","Gender","POCAAbsError","POUAAbsError","LengthAbsError","AngleAbsError","AreaAbsError","Mean_POCAAbsError","Mean_POUAAbsError","Mean_LengthAbsError","Mean_AngleAbsError"
11,"Child",10,4,"Male","[5, 0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0]","[0, 5, 10, 0, 5, 10, 0, 10, 0, 5, 20, 0, 0, 10, 5, 5, 0, 10, 10]","[5, 5, 10, 5, 10, 15, 0, 5, 20, 15, 10, 10, 5, 0, 5, 0, 5, 0, 10]","[0, 10, 0, 5, 10, 0, 10, 5, 10, 10, 0, 4, 5, 15, 5, 0, 0, 15, 10]",6.57894736842105,1.57894736842105,5.52631578947368,7.10526315789474,6
12,"Child",10,4,"Male","[5, 3, 5, 10, 5, 5, 9, 0, 5, 0, 10, 0, 7, 5, 4, 0, 0, 5, 10]","[10, 12, 4, 21, 18, 8, 10, 6, 4, 17, 1, 9, 3, 1, 20, 1, 8, 1, 10]","[35, 4, 15, 3, 15, 5, 4, 16, 5, 0, 0, 5, 5, 1, 2, 5, 5, 5, 11]","[10, 10, 15, 0, 0, 5, 0, 10, 5, 20, 15, 15, 10, 20, 5, 14, 0, 37, 5]",6.63157894736842,4.63157894736842,8.63157894736842,7.42105263157895,10.3157894736842
13,"Child",8,2,"Male","[15, 7, 5, 2, 7, 0, 15, 0, 15, 5, 6, 1, 10, 0, 5, 8, 6, 0, 1]","[10, 20, 1, 15, 10, 0, 10, 5, 5, 10, 9, 0, 1, 10, 15, 15, 9, 10, 3]","[2, 1, 9, 0, 0, 5, 17, 1, 5, 7, 3, 10, 15, 0, 12, 2, 5, 10, 6]","[10, 18, 20, 17, 5, 7, 5, 35, 19, 14, 5, 4, 5, 0, 3, 10, 4, 30, 15]",13.0526315789474,5.68421052631579,8.31578947368421,5.78947368421053,11.8947368421053
16,"Child",10,4,"Male","[7, 19, 11, 2, 11, 12, 12, 3, 9, 9, 11, 3, 3, 18, 2, 14, 8, 6, 7]","[13, 11, 11, 12, 6, 9, 2, 3, 6, 8, 4, 1, 21, 16, 2, 2, 7, 3, 6]","[8, 4, 2, 3, 12, 11, 5, 1, 5, 3, 11, 9, 8, 8, 2, 4, 4, 10, 1]","[4, 6, 11, 3, 12, 1, 3, 18, 1, 2, 3, 9, 29, 5, 21, 8, 1, 11, 22]",6.31578947368421,8.78947368421053,7.52631578947368,5.84210526315789,8.94736842105263
17,"Child",12,6,"Male","[0, 6, 3, 7, 8, 3, 1, 5, 16, 8, 10, 1, 6, 0, 0, 2, 2, 1, 8]","[6, 4, 11, 0, 5, 0, 19, 11, 12, 4, 5, 10, 2, 2, 12, 6, 11, 0, 5]","[2, 7, 7, 6, 4, 9, 9, 5, 1, 5, 4, 2, 1, 13, 14, 6, 6, 2, 1]","[2, 6, 18, 25, 13, 6, 8, 0, 4, 0, 15, 9, 2, 7, 9, 8, 5, 1, 0]",8,4.57894736842105,6.57894736842105,5.47368421052632,7.26315789473684
18,"Child",8,2,"Female","[5, 5, 10, 5, 5, 25, 5, 5, 20, 5, 0, 0, 5, 4, 0, 0, 10, 20, 10]","[20, 4, 20, 0, 5, 10, 0, 25, 10, 5, 10, 5, 0, 10, 10, 15, 15, 0, 20]","[5, 15, 5, 15, 5, 25, 20, 0, 5, 0, 10, 4, 10, 0, 10, 0, 5, 5, 20]","[5, 10, 30, 10, 5, 0, 10, 5, 10, 10, 30, 5, 15, 15, 20, 35, 5, 25, 25]",8.1578947368421,7.31578947368421,9.68421052631579,8.36842105263158,14.2105263157895
19,"Child",8,2,"Male","[5, 5, 20, 5, 10, 5, 5, 10, 10, 0, 10, 10, 5, 10, 0, 10, 10, 20, 0]","[10, 10, 5, 5, 10, 5, 5, 5, 5, 5, 15, 10, 0, 0, 10, 30, 5, 5, 5]","[5, 10, 0, 0, 5, 10, 10, 5, 5, 5, 10, 5, 15, 5, 5, 0, 5, 10, 15]","[25, 30, 10, 0, 5, 5, 55, 5, 25, 35, 10, 5, 10, 15, 0, 15, 5, 0, 25]",21.2105263157895,7.89473684210526,7.63157894736842,6.57894736842105,14.7368421052632
20,"Child",9,3,"Male","[5, 5, 5, 5, 5, 2, 0, 0, 0, 5, 2, 10, 10, 0, 0, 0, 5, 5, 0]","[5, 10, 0, 25, 0, 10, 0, 10, 0, 10, 10, 5, 15, 10, 5, 2, 15, 5, 5]","[5, 5, 5, 10, 5, 5, 5, 0, 5, 0, 0, 0, 0, 5, 5, 10, 10, 15, 0]","[0, 10, 0, 5, 10, 5, 10, 15, 15, 20, 5, 10, 15, 20, 15, 5, 6, 20, 5]",7.10526315789474,3.36842105263158,7.47368421052632,4.73684210526316,10.0526315789474
21,"Child",9,3,"Male","[5, 10, 10, 5, 10, 2, 10, 10, 5, 5, 0, 5, 5, 0, 5, 5, 0, 5, 0]","[21, 13, 8, 17, 32, 19, 5, 4, 13, 4, 17, 11, 4, 26, 0, 11, 6, 8, 13]","[0, 0, 10, 5, 20, 5, 5, 5, 0, 0, 0, 5, 5, 5, 5, 0, 5, 10, 5]","[3, 4, 14, 3, 35, 5, 21, 9, 5, 7, 0, 1, 24, 1, 12, 7, 18, 2, 6]",6.57894736842105,5.10526315789474,12.2105263157895,4.73684210526316,9.31578947368421
22,"Child",9,3,"Female","[4, 5, 0, 10, 10, 5, 5, 5, 0, 5, 5, 15, 0, 15, 10, 4, 0, 10, 5]","[10, 10, 5, 4, 31, 5, 10, 10, 0, 5, 10, 15, 0, 5, 25, 5, 20, 35, 15]","[0, 5, 5, 25, 10, 15, 30, 25, 10, 15, 10, 15, 10, 10, 5, 5, 20, 3, 20]","[60, 45, 5, 0, 10, 10, 25, 0, 10, 0, 15, 30, 10, 5, 5, 5, 5, 15, 15]",13.4210526315789,5.94736842105263,11.5789473684211,12.5263157894737,14.2105263157895
23,"Child",12,5,"Female","[10, 0, 7, 19, 1, 10, 0, 5, 8, 5, 8, 3, 7, 19, 5, 20, 0, 0, 0]","[10, 25, 0, 25, 16, 5, 12, 35, 10, 5, 5, 25, 0, 20, 0, 25, 3, 10, 7]","[10, 15, 5, 5, 5, 20, 7, 5, 0, 15, 0, 5, 13, 20, 10, 10, 12, 4, 8]","[10, 30, 5, 0, 5, 25, 9, 25, 10, 5, 20, 35, 3, 35, 0, 25, 20, 9, 21]",12.2631578947368,6.68421052631579,12.5263157894737,8.89473684210526,15.3684210526316
24,"Child",10,4,"Male","[0, 5, 10, 0, 5, 5, 0, 0, 0, 0, 5, 0, 5, 5, 5, 0, 5, 5, 5]","[5, 10, 0, 10, 10, 5, 10, 0, 0, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5]","[5, 5, 5, 5, 5, 0, 5, 5, 0, 0, 10, 0, 5, 5, 10, 5, 10, 0, 5]","[5, 5, 5, 0, 10, 0, 15, 10, 5, 0, 15, 15, 0, 15, 5, 15, 20, 5, 0]",7.63157894736842,3.15789473684211,5,4.47368421052632,7.63157894736842
25,"Child",11,5,"Female","[8, 2, 1, 7, 2, 8, 9, 2, 2, 7, 2, 2, 0, 7, 9, 3, 7, 1, 4]","[1, 2, 7, 3, 3, 11, 8, 6, 8, 2, 3, 0, 1, 8, 18, 10, 1, 1, 1]","[14, 14, 3, 2, 16, 13, 3, 2, 3, 7, 12, 5, 6, 1, 2, 3, 0, 8, 4]","[2, 1, 7, 12, 26, 3, 6, 11, 4, 3, 8, 4, 9, 2, 20, 0, 2, 4, 17]",11.3684210526316,4.36842105263158,4.94736842105263,6.21052631578947,7.42105263157895
